Дата	Игра	Просм	URL	Название	Preview
16.02.2017 11:48:28	Dota 2	87	https://clips.twitch.tv/AmorphousSparklyTigerKevinTurtle	СПАСИБО ЗА 16 ЛИМОНОВ ПРОСМОТРОВ мышка  ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24542470272-offset-490-preview-480x272.jpg
10.02.2017 15:06:26	Dota 2	84	https://clips.twitch.tv/BlitheCoweringZucchiniSeemsGood	SAD ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24485304336-offset-1672-preview-480x272.jpg
13.01.2017 23:18:42	Talk Shows	80	https://clips.twitch.tv/DependableScarySalmonFutureMan	12 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24228659504-offset-9150-preview-480x272.jpg
22.01.2017 15:51:24	Counter-Strike: Global Offensive	70	https://clips.twitch.tv/NimblePlainGoshawkShazBotstix	4 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24309495536-offset-7016-preview-480x272.jpg
15.03.2017 13:04:15	Talk Shows	67	https://clips.twitch.tv/MotionlessSpookyCougarJonCarnage	❤️ ЛЮБОВЬ	https://clips-media-assets2.twitch.tv/24793784656-offset-1846-preview-480x272.jpg
05.12.2016 15:44:46	Dota 2	66	https://clips.twitch.tv/FancyBrainyGoldfishHotPokket	Болею ○ Сигна за саб	https://clips-media-assets2.twitch.tv/23848563232-offset-2144-preview-480x272.jpg
15.02.2017 20:35:21	Dota 2	61	https://clips.twitch.tv/ElegantBashfulSquidDatSheffy	мышка  ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24535490416-offset-11234-preview-480x272.jpg
26.01.2017 17:52:35	Resident Evil 7 biohazard	60	https://clips.twitch.tv/TriumphantSmoggyManateeYee	♥♥♥С ДНЁМ РОЖДЕНИЯ МЕНЯ♥♥♥ ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24344706800-offset-14746-preview-480x272.jpg
22.03.2017 22:09:39	Talk Shows	58	https://clips.twitch.tv/PeppyExuberantLEDRickroll	❤️	https://clips-media-assets2.twitch.tv/24857235040-offset-8148-preview-480x272.jpg
12.01.2017 20:53:00	Social Eating	53	https://clips.twitch.tv/PatientAbrasiveTruffleKeyboardCat	14 дней ˁ˚ᴥ˚ˀ	https://clips-media-assets2.twitch.tv/24217823312-offset-11418-preview-480x272.jpg
08.03.2017 18:50:15	In Verbis Virtus	52	https://clips.twitch.tv/ImpartialKawaiiPonyDerp	❤️ Н Е У Д А Ч Н И Ц А ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24731867472-offset-2482-preview-480x272.jpg
01.04.2017 19:33:28	Dota 2	50	https://clips.twitch.tv/PoisedDifficultToadNerfBlueBlaster	❤️ ПРИНЦЕССА МИДА	https://clips-media-assets2.twitch.tv/24943243392-offset-448-preview-480x272.jpg
28.03.2017 19:00:12	Counter-Strike: Global Offensive	48	https://clips.twitch.tv/SincereEnjoyableNuggetsNotLikeThis	❤️	https://clips-media-assets2.twitch.tv/24907870272-offset-8080-preview-480x272.jpg
15.03.2017 13:03:45	Talk Shows	47	https://clips.twitch.tv/CuriousAgilePistachioSSSsss	❤️ ЛЮБОВЬ	https://clips-media-assets2.twitch.tv/24793784656-offset-1816-preview-480x272.jpg
10.02.2017 12:44:22	Dead by Daylight	45	https://clips.twitch.tv/TriumphantHandsomeKimchiFeelsBadMan	 ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/vod-120915067-offset-278-preview-480x272.jpg
16.01.2017 20:29:19	Harry Potter and the Philosopher's Stone	45	https://clips.twitch.tv/ZealousBombasticAlfalfaMikeHogu	12 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/vod-115182989-offset-1224-preview-480x272.jpg
24.02.2017 21:18:47	Talk Shows	44	https://clips.twitch.tv/InterestingBlazingAlpacaBatChest	❤️ Сегодня я победю ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24618614400-offset-3690-preview-480x272.jpg
22.01.2017 15:48:55	Counter-Strike: Global Offensive	43	https://clips.twitch.tv/VenomousArtisticSwallowBloodTrail	4 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24309495536-offset-6868-preview-480x272.jpg
