Дата	Игра	Просм	Смещение	URL	Название	Video ID	Автор	Thumbnail
16.11.2018 10:47:38	Fallout 76	23	22:52:48	https://clips.twitch.tv/OnerousPlausibleTigerTheRinger	-Баба с возу...ну не это не про Катюху -что? -Ничего 	336534760	Foxlex_	https://clips-media-assets2.twitch.tv/AT-cm%7C343634898-preview-480x272.jpg
17.11.2018 20:26:32	Red Dead Redemption 2	22	2 days, 8:31:42	https://clips.twitch.tv/HealthySingleOwlSSSsss	Клинт и камень	328999849	Ultsey	https://clips-media-assets2.twitch.tv/AT-cm%7C344472094-preview-480x272.jpg
15.11.2018 15:54:38	Fallout 76	22	3:59:48	https://clips.twitch.tv/TalentedTsundereDiamondFeelsBadMan	папарапапам	336154410	arexov19	https://clips-media-assets2.twitch.tv/AT-cm%7C343209813-preview-480x272.jpg
15.11.2018 19:10:49	Fallout 76	18	7:15:59	https://clips.twitch.tv/GiftedSpeedyTofuLitty	Шутки из жвачки	336154410	bezumnaya_chiffa	https://clips-media-assets2.twitch.tv/AT-cm%7C343297513-preview-480x272.jpg
15.11.2018 16:59:22	Fallout 76	16	5:04:32	https://clips.twitch.tv/BlatantEasySkirretFreakinStinkin	ВВП	336154410	Osisyai	https://clips-media-assets2.twitch.tv/AT-cm%7C343234936-preview-480x272.jpg
16.11.2018 10:44:29	Fallout 76	16	22:49:39	https://clips.twitch.tv/EmpathicKitschyPigVoHiYo	Кать нам сюда	336534760	Kafety	https://clips-media-assets2.twitch.tv/31260460080-offset-8372-preview-480x272.jpg
15.11.2018 20:28:10	Fallout 76	16	8:33:20	https://clips.twitch.tv/BloodyEasyStorkJebaited	Дрим тим, или этим людям нельзя доверять феерверки.	336154410	bezumnaya_chiffa	https://clips-media-assets2.twitch.tv/AT-cm%7C343341944-preview-480x272.jpg
15.11.2018 17:03:51	Fallout 76	15	5:09:01	https://clips.twitch.tv/PiliableCuriousWrenchRitzMitz	гости с краснодара приехали	336154410	失调	https://clips-media-assets2.twitch.tv/AT-cm%7C343236755-preview-480x272.jpg
15.11.2018 16:28:21	Fallout 76	15	4:33:31	https://clips.twitch.tv/CheerfulAdorableBobaKevinTurtle	23,5 !	336154410	moh_bolotniy	https://clips-media-assets2.twitch.tv/AT-cm%7C343222442-preview-480x272.jpg
15.11.2018 17:17:40	Fallout 76	12	5:22:50	https://clips.twitch.tv/SillyIcyBarracudaKappaWealth	Wow	336154410	Shpigor	https://clips-media-assets2.twitch.tv/AT-cm%7C343242641-preview-480x272.jpg
17.11.2018 10:50:55	Fallout 76	10	1 day, 22:56:05	https://clips.twitch.tv/LachrymoseGoldenGooseSSSsss	FALLOUT 76 | VK.COM/WELOVEGAMES	336154410	Maryysya	https://clips-media-assets2.twitch.tv/vod-336154410-offset-3694-preview-480x272.jpg
16.11.2018 10:47:41	Fallout 76	9	22:52:51	https://clips.twitch.tv/RespectfulProtectivePresidentMoreCowbell	Это не про Катюху	336534760	Dargont	https://clips-media-assets2.twitch.tv/AT-cm%7C343634916-preview-480x272.jpg
15.11.2018 17:34:23	Fallout 76	8	5:39:33	https://clips.twitch.tv/BadShortUdonBudStar	майкол бэй ммммонстер килл	336154410	失调	https://clips-media-assets2.twitch.tv/AT-cm%7C343249920-preview-480x272.jpg
15.11.2018 13:24:59	Fallout 76	8	1:30:09	https://clips.twitch.tv/ElegantAdventurousSaladTwitchRPG	Уииии	336154410	phan10m	https://clips-media-assets2.twitch.tv/AT-cm%7C343158191-preview-480x272.jpg
16.11.2018 20:43:52	Fallout 76	8	1 day, 8:49:02	https://clips.twitch.tv/SwissQuaintKuduPupper	Кошки!	335652838	Gwynbladde	https://clips-media-assets2.twitch.tv/AT-cm%7C343866343-preview-480x272.jpg
15.11.2018 17:34:13	Fallout 76	8	5:39:23	https://clips.twitch.tv/PerfectOptimisticPeafowlOneHand	я знал)	336154410	GreMLinM	https://clips-media-assets2.twitch.tv/AT-cm%7C343249848-preview-480x272.jpg
16.11.2018 10:44:47	Fallout 76	8	22:49:57	https://clips.twitch.tv/PiliableExpensiveConsoleNinjaGrumpy	Стеклянная пещера.	336534760	Hinlhon	https://clips-media-assets2.twitch.tv/AT-cm%7C343634268-preview-480x272.jpg
16.11.2018 08:27:13	Fallout 76	8	20:32:23	https://clips.twitch.tv/LittleShyMooseNotATK	привет	336534760	bezumnaya_chiffa	https://clips-media-assets2.twitch.tv/AT-cm%7C343608646-preview-480x272.jpg
17.11.2018 03:08:00	Fallout 76	6	1 day, 15:13:10	https://clips.twitch.tv/SlickRoundClipzJonCarnage	Стрим в воскресенье! Отличной вам пятницы и субботы!		PushOkSpector	https://clips-media-assets2.twitch.tv/31261440032-offset-55478-preview-480x272.jpg
16.11.2018 10:56:55	Fallout 76	6	23:02:05	https://clips.twitch.tv/DepressedPopularFriesHoneyBadger	Думаешь получится ?	336534760	AlexLegion	https://clips-media-assets2.twitch.tv/AT-cm%7C343636913-preview-480x272.jpg
16.11.2018 10:56:24	Fallout 76	6	23:01:34	https://clips.twitch.tv/GeniusTsundereDugongPanicBasket	Давай ещё раз. Почти.	336534760	AlexLegion	https://clips-media-assets2.twitch.tv/31260460080-offset-9084-preview-480x272.jpg
15.11.2018 18:56:17	Fallout 76	6	7:01:27	https://clips.twitch.tv/TenaciousFancyCroissantLitty	Долбаная пиратка :D	336154410	AlexVenger	https://clips-media-assets2.twitch.tv/AT-cm%7C343290150-preview-480x272.jpg
16.11.2018 05:33:49	Fallout 76	6	17:38:59	https://clips.twitch.tv/TolerantFurtiveDragonflyWow	12		Krzhemelik	https://clips-media-assets2.twitch.tv/AT-cm%7C343566835-preview-480x272.jpg
